time,fn,label
0.1473139025,RSL20000908_T10_144502.aif,D
4.5982982425,RSL20000908_T10_144502.aif,D
5.9767354735,RSL20000908_T10_144502.aif,K
6.5449462405,RSL20000908_T10_144502.aif,K
7.52353145,RSL20000908_T10_144502.aif,D
8.723087513500001,RSL20000908_T10_144502.aif,K
9.0703274265,RSL20000908_T10_144502.aif,J
9.4491346045,RSL20000908_T10_144502.aif,L
9.859509047,RSL20000908_T10_144502.aif,K
10.911751208,RSL20000908_T10_144502.aif,D
12.2586211735,RSL20000908_T10_144502.aif,K
12.6689956165,RSL20000908_T10_144502.aif,J
13.121459746,RSL20000908_T10_144502.aif,L
13.5318341885,RSL20000908_T10_144502.aif,Q
14.478852133,RSL20000908_T10_144502.aif,D
15.678408196500001,RSL20000908_T10_144502.aif,K
16.015125688,RSL20000908_T10_144502.aif,J
16.457067395499998,RSL20000908_T10_144502.aif,L
16.888486681499998,RSL20000908_T10_144502.aif,K
17.814459783,RSL20000908_T10_144502.aif,D
18.992971003,RSL20000908_T10_144502.aif,K
19.2770763865,RSL20000908_T10_144502.aif,J
19.645361143,RSL20000908_T10_144502.aif,L
22.686340987999998,RSL20000908_T10_144502.aif,D
27.481532483499997,RSL20000908_T10_144502.aif,D
28.7547454985,RSL20000908_T10_144502.aif,K
29.0388508815,RSL20000908_T10_144502.aif,J
29.3522756415,RSL20000908_T10_144502.aif,L
29.773172506,RSL20000908_T10_144502.aif,Q
30.322586318,RSL20000908_T10_144502.aif,K
31.395873322,RSL20000908_T10_144502.aif,D
32.5751691635,RSL20000908_T10_144502.aif,K
32.932931498,RSL20000908_T10_144502.aif,J
33.287661322999995,RSL20000908_T10_144502.aif,L
33.708558186999994,RSL20000908_T10_144502.aif,Q
34.227189356,RSL20000908_T10_144502.aif,K
35.1742073005,RSL20000908_T10_144502.aif,D
36.236971882999995,RSL20000908_T10_144502.aif,K
36.531599688,RSL20000908_T10_144502.aif,J
36.8758070915,RSL20000908_T10_144502.aif,L
37.4124505935,RSL20000908_T10_144502.aif,L
37.741678173,RSL20000908_T10_144502.aif,K
38.7728754905,RSL20000908_T10_144502.aif,D
39.919444180499994,RSL20000908_T10_144502.aif,K
40.203549564,RSL20000908_T10_144502.aif,J
40.537609811500005,RSL20000908_T10_144502.aif,L
41.084775734999994,RSL20000908_T10_144502.aif,Q
41.571464373,RSL20000908_T10_144502.aif,K
42.4316457005,RSL20000908_T10_144502.aif,L
42.873587408,RSL20000908_T10_144502.aif,Q
43.252394585999994,RSL20000908_T10_144502.aif,L
43.9573968335,RSL20000908_T10_144502.aif,K
44.8412802485,RSL20000908_T10_144502.aif,L
45.7488657515,RSL20000908_T10_144502.aif,D
50.642128442,RSL20000908_T10_144502.aif,D
52.1573571535,RSL20000908_T10_144502.aif,K
52.473029801500005,RSL20000908_T10_144502.aif,J
52.78870245,RSL20000908_T10_144502.aif,L
53.420047747,RSL20000908_T10_144502.aif,Q
53.809377346000005,RSL20000908_T10_144502.aif,K
54.4407226425,RSL20000908_T10_144502.aif,J
56.1243101,RSL20000908_T10_144502.aif,D
57.36595585,RSL20000908_T10_144502.aif,K
57.713195763,RSL20000908_T10_144502.aif,D
58.070958098000006,RSL20000908_T10_144502.aif,L
58.502377383500004,RSL20000908_T10_144502.aif,P
58.818050032,RSL20000908_T10_144502.aif,P
60.354323586999996,RSL20000908_T10_144502.aif,D
61.638059023,RSL20000908_T10_144502.aif,K
62.016866201,RSL20000908_T10_144502.aif,J
62.3430612705,RSL20000908_T10_144502.aif,L
63.0901532045,RSL20000908_T10_144502.aif,P
64.2265747385,RSL20000908_T10_144502.aif,L
64.605381916,RSL20000908_T10_144502.aif,P
65.2156823695,RSL20000908_T10_144502.aif,L
65.583967126,RSL20000908_T10_144502.aif,Q
66.5941196005,RSL20000908_T10_144502.aif,P
67.36225637800001,RSL20000908_T10_144502.aif,M
72.560332652,RSL20000908_T10_144502.aif,M
75.369039218,RSL20000908_T10_144502.aif,P
77.15070030300001,RSL20000908_T10_144502.aif,P
77.79971861,RSL20000908_T10_144502.aif,P
80.054888667,RSL20000908_T10_144502.aif,M
82.861478174,RSL20000908_T10_144502.aif,P
84.00079677,RSL20000908_T10_144502.aif,P
84.91624745,RSL20000908_T10_144502.aif,P
88.0393234515,RSL20000908_T10_144502.aif,M
93.0900858235,RSL20000908_T10_144502.aif,M
96.00479660900001,RSL20000908_T10_144502.aif,P
97.1727854075,RSL20000908_T10_144502.aif,P
97.82517554750001,RSL20000908_T10_144502.aif,P
99.866525339,RSL20000908_T10_144502.aif,P
101.0871262455,RSL20000908_T10_144502.aif,P
102.1183235635,RSL20000908_T10_144502.aif,P
102.9521867,RSL20000908_T10_144502.aif,P
104.183310028,RSL20000908_T10_144502.aif,P
105.15137281599999,RSL20000908_T10_144502.aif,P
107.719018092,RSL20000908_T10_144502.aif,M
112.4225405505,RSL20000908_T10_144502.aif,M
114.674338775,RSL20000908_T10_144502.aif,O
115.90528769950001,RSL20000908_T10_144502.aif,P
118.167782749,RSL20000908_T10_144502.aif,O
119.56098619650001,RSL20000908_T10_144502.aif,P
121.682271566,RSL20000908_T10_144502.aif,O
122.8965938465,RSL20000908_T10_144502.aif,P
124.927421217,RSL20000908_T10_144502.aif,P
127.5748276665,RSL20000908_T10_144502.aif,M
132.3722573205,RSL20000908_T10_144502.aif,M
134.77136944699998,RSL20000908_T10_144502.aif,O
135.897268559,RSL20000908_T10_144502.aif,P
138.433172167,RSL20000908_T10_144502.aif,O
139.89578877,RSL20000908_T10_144502.aif,P
142.137064573,RSL20000908_T10_144502.aif,O
143.8732641385,RSL20000908_T10_144502.aif,B
146.53543680500002,RSL20000908_T10_144502.aif,B
149.9131341415,RSL20000908_T10_144502.aif,M
153.304832288,RSL20000908_T10_144502.aif,A
157.2402179695,RSL20000908_T10_144502.aif,A
161.17560365100002,RSL20000908_T10_144502.aif,A
165.35300503,RSL20000908_T10_144502.aif,B
168.29928308,RSL20000908_T10_144502.aif,B
171.5949713535,RSL20000908_T10_144502.aif,B
174.8674444735,RSL20000908_T10_144502.aif,A
178.6610681265,RSL20000908_T10_144502.aif,B
182.817424662,RSL20000908_T10_144502.aif,A
187.32102111,RSL20000908_T10_144502.aif,B
190.5093148575,RSL20000908_T10_144502.aif,B
193.4661151875,RSL20000908_T10_144502.aif,B
197.264709388,RSL20000908_T10_144502.aif,A
201.9858440175,RSL20000908_T10_144502.aif,A
206.9769045325,RSL20000908_T10_144502.aif,B
210.1651982795,RSL20000908_T10_144502.aif,B
213.627074989,RSL20000908_T10_144502.aif,B
218.919852932,RSL20000908_T10_144502.aif,C
225.4963664375,RSL20000908_T10_144502.aif,D
230.3892924855,RSL20000908_T10_144502.aif,D
235.26117369,RSL20000908_T10_144502.aif,C
241.3925094555,RSL20000908_T10_144502.aif,D
244.73863952699998,RSL20000908_T10_144502.aif,F
248.1373817065,RSL20000908_T10_144502.aif,F
252.5880559485,RSL20000908_T10_144502.aif,I
254.966123232,RSL20000908_T10_144502.aif,I
258.71210532450004,RSL20000908_T10_144502.aif,E
261.9845784445,RSL20000908_T10_144502.aif,F
264.5941390035,RSL20000908_T10_144502.aif,E
267.017590228,RSL20000908_T10_144502.aif,F
271.363350352,RSL20000908_T10_144502.aif,I
273.4257449875,RSL20000908_T10_144502.aif,I
276.962344476,RSL20000908_T10_144502.aif,E
279.51929292650004,RSL20000908_T10_144502.aif,F
282.16042074999996,RSL20000908_T10_144502.aif,E
284.54901045500003,RSL20000908_T10_144502.aif,F
288.0285020585,RSL20000908_T10_144502.aif,I
290.175076066,RSL20000908_T10_144502.aif,I
293.8368787855,RSL20000908_T10_144502.aif,E
296.4464393445,RSL20000908_T10_144502.aif,F
299.2243586495,RSL20000908_T10_144502.aif,E
0.9458355535,RSL20000908_T10_153502.aif,E
3.5658000359999997,RSL20000908_T10_153502.aif,F
5.911472207999999,RSL20000908_T10_153502.aif,E
8.105810692,RSL20000908_T10_153502.aif,F
12.3527740525,RSL20000908_T10_153502.aif,I
18.4250383045,RSL20000908_T10_153502.aif,E
20.9787942985,RSL20000908_T10_153502.aif,F
23.698836307999997,RSL20000908_T10_153502.aif,E
26.202205794500003,RSL20000908_T10_153502.aif,F
30.335507162,RSL20000908_T10_153502.aif,I
32.302845113000004,RSL20000908_T10_153502.aif,I
36.124020748,RSL20000908_T10_153502.aif,E
39.245278074,RSL20000908_T10_153502.aif,F
42.074606862500005,RSL20000908_T10_153502.aif,E
44.34461219,RSL20000908_T10_153502.aif,F
48.290264483499996,RSL20000908_T10_153502.aif,I
50.5602698115,RSL20000908_T10_153502.aif,I
54.371987091,RSL20000908_T10_153502.aif,E
56.8784513075,RSL20000908_T10_153502.aif,F
59.8321678975,RSL20000908_T10_153502.aif,E
62.196756781000005,RSL20000908_T10_153502.aif,F
66.1961364615,RSL20000908_T10_153502.aif,I
68.2675163225,RSL20000908_T10_153502.aif,I
72.0603168915,RSL20000908_T10_153502.aif,E
75.090661495,RSL20000908_T10_153502.aif,F
78.211918821,RSL20000908_T10_153502.aif,E
80.50084086,RSL20000908_T10_153502.aif,F
82.704637699,RSL20000908_T10_153502.aif,E
84.7192674275,RSL20000908_T10_153502.aif,F
89.039196861,RSL20000908_T10_153502.aif,I
91.3281188995,RSL20000908_T10_153502.aif,I
94.950669069,RSL20000908_T10_153502.aif,E
97.59749917900001,RSL20000908_T10_153502.aif,F
100.5012143275,RSL20000908_T10_153502.aif,E
102.86580321100001,RSL20000908_T10_153502.aif,F
105.155138149,RSL20000908_T10_153502.aif,E
107.1886845885,RSL20000908_T10_153502.aif,G
111.4260278675,RSL20000908_T10_153502.aif,I
113.5352411515,RSL20000908_T10_153502.aif,I
117.6212507415,RSL20000908_T10_153502.aif,E
120.245991194,RSL20000908_T10_153502.aif,F
123.251524655,RSL20000908_T10_153502.aif,E
125.37331262500001,RSL20000908_T10_153502.aif,F
127.82302670749999,RSL20000908_T10_153502.aif,E
129.932239992,RSL20000908_T10_153502.aif,G
1.2206009065,RSL20000908_T10_150502.aif,I
3.27247312,RSL20000908_T10_150502.aif,I
7.1552466935000005,RSL20000908_T10_150502.aif,E
9.628015772,RSL20000908_T10_150502.aif,F
12.647950773,RSL20000908_T10_150502.aif,E
14.931316262500001,RSL20000908_T10_150502.aif,F
18.548952161,RSL20000908_T10_150502.aif,I
21.011198817,RSL20000908_T10_150502.aif,I
24.673001537,RSL20000908_T10_150502.aif,E
27.2615172525,RSL20000908_T10_150502.aif,F
30.2288401465,RSL20000908_T10_150502.aif,E
32.4280262625,RSL20000908_T10_150502.aif,F
36.3583698995,RSL20000908_T10_150502.aif,I
38.347107583500005,RSL20000908_T10_150502.aif,I
42.082567254500006,RSL20000908_T10_150502.aif,E
44.660560549,RSL20000908_T10_150502.aif,F
47.722585237000004,RSL20000908_T10_150502.aif,E
49.942816196,RSL20000908_T10_150502.aif,F
54.0234349965,RSL20000908_T10_150502.aif,I
56.022695102,RSL20000908_T10_150502.aif,I
59.7476323515,RSL20000908_T10_150502.aif,E
62.451894705,RSL20000908_T10_150502.aif,F
65.482352128,RSL20000908_T10_150502.aif,E
67.8393745685,RSL20000908_T10_150502.aif,F
71.8151833735,RSL20000908_T10_150502.aif,I
74.23534034350001,RSL20000908_T10_150502.aif,I
78.1496811825,RSL20000908_T10_150502.aif,E
80.8960332215,RSL20000908_T10_150502.aif,F
84.172212385,RSL20000908_T10_150502.aif,E
86.487145139,RSL20000908_T10_150502.aif,F
90.843427685,RSL20000908_T10_150502.aif,I
92.7795532605,RSL20000908_T10_150502.aif,I
96.99904432599999,RSL20000908_T10_150502.aif,E
99.71382910049999,RSL20000908_T10_150502.aif,F
102.5864501995,RSL20000908_T10_150502.aif,E
104.905103593,RSL20000908_T10_150502.aif,F
108.872056539,RSL20000908_T10_150502.aif,I
110.90288390949999,RSL20000908_T10_150502.aif,I
114.92244896400001,RSL20000908_T10_150502.aif,E
117.363650777,RSL20000908_T10_150502.aif,F
120.10832652350001,RSL20000908_T10_150502.aif,E
122.29699021799999,RSL20000908_T10_150502.aif,G
124.7361863935,RSL20000908_T10_150502.aif,E
126.3671617425,RSL20000908_T10_150502.aif,G
131.261608927,RSL20000908_T10_150502.aif,I
133.37661567,RSL20000908_T10_150502.aif,I
137.3439852705,RSL20000908_T10_150502.aif,E
140.1324269965,RSL20000908_T10_150502.aif,G
143.4154225385,RSL20000908_T10_150502.aif,E
145.6987880275,RSL20000908_T10_150502.aif,G
149.697308239,RSL20000908_T10_150502.aif,I
151.9070167765,RSL20000908_T10_150502.aif,I
155.97776962749998,RSL20000908_T10_150502.aif,E
158.63994229399998,RSL20000908_T10_150502.aif,F
161.3757719125,RSL20000908_T10_150502.aif,E
163.73279435249998,RSL20000908_T10_150502.aif,F
167.8922028915,RSL20000908_T10_150502.aif,I
169.901985419,RSL20000908_T10_150502.aif,I
173.826848679,RSL20000908_T10_150502.aif,E
176.19439354050002,RSL20000908_T10_150502.aif,G
179.548982279,RSL20000908_T10_150502.aif,E
181.8007805035,RSL20000908_T10_150502.aif,F
185.570210269,RSL20000908_T10_150502.aif,I
187.56947037499998,RSL20000908_T10_150502.aif,I
191.452243948,RSL20000908_T10_150502.aif,E
194.167028723,RSL20000908_T10_150502.aif,G
197.144874038,RSL20000908_T10_150502.aif,E
199.750345743,RSL20000908_T10_150502.aif,F
203.894590873,RSL20000908_T10_150502.aif,I
206.0306424595,RSL20000908_T10_150502.aif,I
209.8923711895,RSL20000908_T10_150502.aif,E
212.428274797,RSL20000908_T10_150502.aif,F
215.1499000625,RSL20000908_T10_150502.aif,E
217.4332655515,RSL20000908_T10_150502.aif,F
219.6219292465,RSL20000908_T10_150502.aif,E
